time,1,smooth
2022-01-01 00:09:11,48.43,59.1519
2022-01-01 00:09:12,48.28,59.14706666666666
2022-01-01 00:09:13,48.14,59.14443333333334
2022-01-01 00:09:14,47.98,59.14306666666666
2022-01-01 00:09:15,47.73,59.141666666666666
2022-01-01 00:09:16,47.35,59.13973333333334
2022-01-01 00:09:17,46.98,59.137299999999996
2022-01-01 00:09:18,46.83,59.1347
2022-01-01 00:09:19,46.98,59.13216666666667
2022-01-01 00:09:20,47.67,59.129933333333334
2022-01-01 00:09:21,49.72,59.12816666666667
2022-01-01 00:09:22,53.95,59.126766666666676
2022-01-01 00:09:23,59.97,59.12570000000001
2022-01-01 00:09:24,66.07,59.124833333333335
2022-01-01 00:09:25,70.5,59.124
2022-01-01 00:09:26,72.43,59.1231
2022-01-01 00:09:27,72.33,59.12200000000001
2022-01-01 00:09:28,71.32,59.12073333333333
2022-01-01 00:09:29,70.57,59.1193
2022-01-01 00:09:30,70.72,59.117766666666675
2022-01-01 00:09:31,71.76,59.11626666666667
2022-01-01 00:09:32,73.21,59.11483333333332
2022-01-01 00:09:33,74.47,59.11333333333334
2022-01-01 00:09:34,75.17,59.111666666666665
2022-01-01 00:09:35,75.17,59.10973333333333
2022-01-01 00:09:36,74.64,59.10753333333334
2022-01-01 00:09:37,73.85,59.10523333333333
2022-01-01 00:09:38,73.07,59.103
2022-01-01 00:09:39,72.4,59.10086666666666
2022-01-01 00:09:40,71.82,59.098766666666656
2022-01-01 00:09:41,71.23,59.09673333333333
2022-01-01 00:09:42,70.51,59.09453333333334
2022-01-01 00:09:43,69.66,59.09213333333333
2022-01-01 00:09:44,68.72,59.089600000000004
2022-01-01 00:09:45,67.74,59.087133333333334
2022-01-01 00:09:46,66.83,59.08486666666666
2022-01-01 00:09:47,66.01,59.08286666666667
2022-01-01 00:09:48,65.28,59.081133333333334
2022-01-01 00:09:49,64.64,59.07953333333334
2022-01-01 00:09:50,64.03,59.077999999999996
2022-01-01 00:09:51,63.42,59.07656666666667
2022-01-01 00:09:52,62.81,59.07523333333333
2022-01-01 00:09:53,62.17,59.073899999999995
2022-01-01 00:09:54,61.47,59.0722
2022-01-01 00:09:55,60.59,59.07013333333334
2022-01-01 00:09:56,59.31,59.067699999999995
2022-01-01 00:09:57,57.63,59.06506666666667
2022-01-01 00:09:58,56.25,59.06246666666667
2022-01-01 00:09:59,56.17,59.060133333333326
